Ground state energy (a.u.):
	-1020.3035077064
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.1054508195	   0.0085025465	  -0.1832859535
Total excited state gradient (Hartree/Bohr):
	Atom	dE/dX	dE/dY	dE/dZ
    1      -0.0033041875       0.0058792865      -0.0038815155
    2      -0.0019792384      -0.0025764040       0.0042062736
    3       0.0035848159      -0.0030346488      -0.0004232866
    4       0.0017442288       0.0026102010       0.0016919238
    5       0.0012755323       0.0113701712      -0.0010331613
    6      -0.0030522389      -0.0010239716      -0.0040790901
    7      -0.0027068511      -0.0034572300       0.0033450764
    8       0.0033527447      -0.0043119075      -0.0005668498
    9       0.0058439953      -0.0174007871       0.0158746666
   10       0.0055221187       0.0031995824      -0.0136597995
   11      -0.0108049159      -0.0066171809      -0.0009780103
   12       0.0070904558       0.0040319312      -0.0067704336
   13      -0.0224489926       0.0060960491       0.0062941041
   14      -0.0101254593      -0.0080216897       0.0081651844
   15       0.0219379814       0.0028388578      -0.0085312424
   16      -0.0047818900       0.0044127881      -0.0038047418
   17      -0.0131453933      -0.0045729148      -0.0077720331
   18      -0.0012327649      -0.0015420836      -0.0020384761
   19       0.0281957223       0.0681219945      -0.0363792124
   20      -0.0035009226      -0.0513042691       0.0656678432
   21      -0.0122115426      -0.0445105655       0.0379324186
   22       0.0049311403       0.0029665829       0.0024058026
   23       0.0025468409       0.0383500906      -0.0408664475
   24       0.0027572145       0.0035789624      -0.0034307425
   25       0.0141805488       0.0060581444       0.0426950890
   26      -0.0132038949       0.0051063134      -0.0127850023
   27       0.0186942519      -0.0595952454      -0.0337035746
   28       0.0045804368       0.0274252244      -0.0012086295
   29      -0.0019069606       0.0012150894       0.0015435955
   30      -0.0004014251       0.0019468921      -0.0025882024
   31      -0.0043497808      -0.0034718052       0.0022774146
   32       0.0021309609       0.0043236192      -0.0026973159
   33      -0.0022097449      -0.0045967957       0.0011393790
   34      -0.0024684656      -0.0036809580      -0.0032772118
   35      -0.0292399071       0.0137209532       0.0044441604
   36       0.0050727445      -0.0020199690       0.0010725050
   37       0.0081565376       0.0044189686       0.0042630664
   38       0.0015002698      -0.0022749686      -0.0012402140
   39      -0.0003068663       0.0009514667      -0.0061683382
   40      -0.0032870449       0.0049101584      -0.0005700418
   41      -0.0031503049      -0.0014356440      -0.0001014601
   42       0.0015789948      -0.0039301647      -0.0043836276
Excitation energy (eV):
	Root	Energy
	   1	3.234055681386999
	   2	3.731145012093250
Unrelaxed excited state dipole moments (Debye):
	Root	Dx	Dy	Dz
	   1	0.082240273283350	2.396019497589568	20.295452658998887	 20.4366
	   2	-6.720808442581125	-12.921037125233982	17.216798088608119	 22.5508
Relaxed excited state dipole moments (Debye):
	Root	Dx	Dy	Dz
	   1	-2.280538812077326	2.608002616842945	16.090647507333852	 16.4594
Transition dipole moments (a.u.):
	Root	Tx	Ty	Tz
	   1	0.103947995349244	-0.045064927717446	0.105064609055479	  0.1545
	   2	0.047202516693254	-0.034710337775525	-0.028154162515209	  0.0650
Transition dipole moments between excited states (a.u.):
	Transition	Tx	Ty	Tz
	   1 ->    2	-0.100705018298160	-0.094303771969816	0.062451515124906	  0.1514
Velocity form of transition dipole moments (a.u.):
	Root	Tx	Ty	Tz
	   1	0.023648853411906	-0.015470141899844	-0.013868671457154	  0.0315
	   2	0.006401667161650	-0.000358018623638	-0.004341814515582	  0.0077
Magnetic transition dipole moments (a.u.):
	Root	Lx	Ly	Lz
	   1	0.196387729113228	0.009196825136549	-0.017322808146127	 -0.0182	  0.0399
	   2	0.006320087332471	0.017665643500461	-0.055516670912394	 -0.0012	  0.0020
